id,sender_id,receiver_id,amount,start_time
0,1058,125,5,28
1,271,1163,6,69
2,1042,1413,2,117
3,1240,896,5,152
4,629,1501,7,175
5,657,1864,3,235
6,641,1076,4,291
7,550,1313,10,318
8,1143,1895,6,351
9,514,1506,9,363
10,981,1309,6,409
11,1693,942,7,428
12,722,1376,3,484
13,820,163,6,512
14,115,1591,1,571
15,453,1637,7,605
16,1242,394,3,665
17,390,691,9,692
18,690,553,5,717
19,69,63,1,735
20,1340,1102,9,792
21,1226,1223,6,843
22,151,1696,8,855
23,1462,370,6,888
24,1227,1509,2,912
25,729,198,9,937
26,614,1983,7,971
27,1893,1766,8,1007
28,1725,368,9,1047
29,913,1329,5,1061
30,746,1954,9,1101
31,743,386,7,1151
32,611,717,10,1199
33,1343,246,2,1255
34,1556,1096,6,1306
35,1722,443,6,1330
36,1680,843,8,1376
37,793,977,7,1401
38,447,445,5,1459
39,876,1380,4,1488
40,342,860,2,1529
41,508,725,4,1588
42,1820,1895,1,1607
43,896,189,2,1625
44,1243,1151,6,1661
45,1700,1093,4,1680
46,432,368,3,1709
47,1504,781,6,1742
48,1196,1934,5,1771
49,1017,1211,8,1790
50,1073,742,2,1844
51,818,1720,2,1886
52,1380,327,5,1914
53,510,320,6,1972
54,1053,850,1,2011
55,1515,1937,10,2070
56,1363,1403,8,2094
57,873,72,10,2113
58,1731,820,7,2144
59,969,672,10,2186
60,1464,1808,4,2236
61,256,930,5,2283
62,1726,678,1,2295
63,1847,1232,2,2333
64,1779,1761,10,2376
65,1938,1161,7,2430
66,1471,519,5,2462
67,1121,1935,9,2482
68,695,1419,7,2511
69,1725,1435,10,2553
70,1041,1614,6,2579
71,1977,1092,7,2590
72,612,1675,3,2601
73,1279,1948,9,2652
74,872,6,6,2670
75,1312,1045,1,2716
76,1064,1680,2,2733
77,1604,1533,5,2785
78,1041,1701,8,2816
79,1094,1054,6,2847
80,322,1821,4,2865
81,962,771,3,2907
82,75,1269,1,2945
83,204,413,2,2967
84,347,1194,4,3020
85,285,1410,6,3045
86,531,1782,7,3065
87,1647,1332,4,3079
88,19,1578,4,3128
89,1361,656,4,3164
90,1360,315,5,3195
91,1087,208,4,3253
92,944,1436,2,3302
93,1048,959,7,3358
94,996,1079,8,3394
95,162,943,7,3442
96,1135,1405,10,3477
97,1793,1415,5,3526
98,1530,575,10,3560
99,345,77,8,3579
100,573,1001,5,3607
101,853,1695,4,3636
102,1978,1710,10,3682
103,344,600,9,3731
104,715,1266,6,3765
105,1596,1723,2,3819
106,1190,1869,10,3841
107,1747,536,9,3889
108,527,636,5,3944
109,1039,1092,1,3984
110,1081,1359,1,4020
111,794,1642,1,4067
112,1020,674,8,4096
113,1425,833,6,4110
114,1193,66,2,4136
115,1738,49,3,4154
116,1072,1506,5,4214
117,686,1442,7,4258
118,687,1355,7,4292
119,776,1793,6,4339
120,238,1449,6,4352
121,1025,742,9,4376
122,1314,1474,6,4434
123,999,330,3,4471
124,753,675,1,4502
125,1624,685,3,4554
126,1253,1331,8,4607
127,289,1318,3,4633
128,141,328,2,4664
129,678,497,9,4712
130,253,1254,8,4737
131,412,1385,7,4760
132,1585,17,1,4792
133,1874,1247,7,4812
134,424,1260,6,4825
135,1243,1820,9,4840
136,729,1874,7,4887
137,1426,820,5,4929
138,463,255,9,4952
139,22,265,9,4998
140,468,923,7,5022
141,1418,1451,10,5068
142,1054,400,2,5088
143,1155,139,6,5098
144,1407,389,6,5139
145,1533,1273,10,5188
146,418,971,4,5236
147,467,870,8,5274
148,50,853,7,5321
149,951,1549,4,5345
150,85,1395,3,5370
151,222,717,9,5404
152,193,1743,1,5444
153,1710,1754,2,5499
154,1645,381,6,5559
155,1276,1686,1,5601
156,686,1914,8,5656
