id,sender_id,receiver_id,amount,start_time
0,1914,1896,1069,35
1,21,69,4538,87
2,484,1255,7836,127
3,1784,660,6182,177
4,1202,191,8232,207
5,200,962,8891,218
6,1551,466,3512,234
7,1989,675,6727,266
8,1386,1746,5827,279
9,344,825,4423,289
10,669,1604,5937,335
11,209,392,3255,359
12,249,1216,3795,400
13,1694,1649,9372,437
14,185,1843,3299,469
15,902,1915,4130,509
16,1835,1169,7587,555
17,1155,1214,6076,597
18,1494,1440,1759,642
19,1898,1028,9271,692
20,780,1044,4529,731
21,1072,1553,3574,750
22,1067,1310,2809,803
23,1396,541,7544,830
24,675,1046,9975,884
25,1075,195,7755,928
26,203,144,8310,981
27,360,1210,1685,1009
28,756,743,1773,1064
29,289,1040,8975,1119
30,260,1266,4111,1149
31,948,1158,3090,1163
32,617,582,4939,1202
33,1768,1053,1703,1252
34,666,1523,7661,1303
35,1684,1389,9926,1357
36,270,977,8046,1368
37,834,814,5385,1425
38,1777,1980,4340,1480
39,366,1349,7240,1540
40,1207,262,7158,1595
41,1599,107,2081,1644
42,1149,1426,2256,1682
43,108,1044,9978,1735
44,452,1052,4239,1755
45,1391,863,1633,1795
46,773,70,1847,1817
47,1152,914,6407,1873
48,647,1379,7338,1931
49,1503,1537,6522,1975
50,1378,926,8954,2031
51,187,1997,5381,2061
52,696,717,4657,2078
53,1840,1858,7731,2133
54,7,1142,1800,2147
55,810,939,4077,2179
56,1114,754,2198,2218
57,942,1965,5144,2237
58,1208,994,8239,2258
59,1615,656,7045,2273
60,532,861,5301,2328
61,1195,182,9791,2357
62,406,45,2217,2374
63,1647,1954,2122,2433
64,1512,1011,4803,2478
65,302,1503,4645,2510
66,422,948,8397,2555
67,1414,1471,9755,2570
68,807,1553,2762,2623
69,343,1138,4531,2682
70,316,724,4730,2716
71,1531,760,3785,2775
72,881,253,6944,2788
73,1480,596,9862,2838
74,516,979,2610,2881
75,1842,911,5840,2901
76,1328,1112,1229,2936
77,855,1982,6778,2977
78,852,320,2491,3020
79,522,1386,6936,3036
80,220,1027,2406,3062
81,1151,832,2003,3114
82,543,474,3570,3173
83,668,396,2285,3185
84,14,954,2211,3230
85,1176,24,9853,3263
86,1907,1471,2521,3274
87,294,1292,4890,3289
88,29,30,9170,3325
89,791,1551,8361,3339
90,998,1188,9639,3398
91,1595,326,9707,3442
92,233,1044,3457,3464
93,1613,1094,6059,3496
94,398,163,1024,3549
95,1895,1324,8009,3564
96,1783,388,4565,3612
97,552,144,7869,3656
98,1627,1389,4833,3711
99,956,856,3199,3724
100,1303,534,8704,3775
101,366,732,1689,3825
102,1622,1285,8041,3882
103,1883,1460,9447,3928
104,55,1023,8243,3940
105,1142,816,7431,3963
106,389,1054,8690,3997
107,1981,1776,5181,4050
108,315,801,9151,4064
109,1777,1567,4147,4110
110,1950,158,1174,4128
111,804,998,8272,4178
112,971,1510,2325,4198
113,318,1048,1729,4242
114,1750,799,6162,4298
115,1861,1068,8073,4333
116,737,1395,8265,4367
117,219,96,1816,4393
118,301,1788,8943,4442
119,1897,1832,9926,4464
120,1598,1483,9224,4486
121,1297,494,3505,4523
122,1914,181,3957,4568
123,1887,1024,8107,4594
124,553,422,3973,4618
125,442,1621,4770,4666
126,1266,1645,3657,4698
127,83,379,4587,4727
128,127,651,5523,4777
129,1404,456,9526,4828
130,530,70,1265,4839
131,1655,1398,1172,4871
132,1435,360,6489,4905
133,560,1833,1774,4952
134,1062,1432,4226,4997
135,591,293,7516,5049
136,1150,1091,9183,5070
137,865,522,1709,5081
138,445,1219,8988,5134
139,1110,1394,6392,5148
140,1896,226,2293,5186
141,1098,1845,4985,5227
142,1613,1326,4143,5265
143,42,1173,9153,5293
144,1724,956,6677,5333
145,841,7,9429,5362
146,1848,130,8171,5397
147,1673,440,5336,5417
148,1799,1707,9115,5431
149,1094,1811,9597,5483
150,284,1688,9051,5495
151,947,829,9110,5530
152,826,1930,1028,5574
153,1412,425,8160,5626
154,459,25,3063,5666
155,266,1964,7103,5679
156,1441,305,5284,5721
157,1782,1538,7133,5739
158,299,136,1114,5796
159,73,1305,3020,5855
160,1572,724,8569,5908
161,1370,707,2543,5922
162,402,999,3943,5938
163,1704,1070,3498,5966
164,1552,333,9476,5988
165,820,570,9569,6025
166,1122,848,7403,6057
167,458,337,9572,6094
168,1562,897,9991,6125
169,589,1359,7405,6169
170,689,1246,8135,6228
171,110,1938,6990,6258
172,1654,1503,5872,6285
173,1183,1724,7072,6306
174,893,768,9752,6347
175,228,261,2719,6401
176,1261,126,7364,6431
177,883,368,5739,6458
178,95,1609,9432,6471
179,825,1830,4103,6515
180,1860,1509,3536,6546
181,1380,1361,8506,6566
182,468,181,5093,6588
183,1989,1153,2124,6626
184,35,1447,4929,6658
185,591,794,9175,6714
186,517,1559,2703,6737
187,637,272,9603,6768
188,25,583,8032,6820
189,1017,825,2901,6863
190,1414,901,5700,6909
191,1901,751,6079,6945
192,500,1683,9707,6957
193,503,339,2230,6980
194,1892,327,4309,7025
195,632,1376,1714,7081
196,627,1879,8398,7098
197,1758,1681,9039,7152
198,55,1983,9019,7186
199,1029,28,5731,7243
200,676,1514,4487,7280
201,1585,831,7786,7306
202,947,1096,2977,7350
203,236,1716,2721,7394
204,1782,1228,2598,7446
205,264,137,7282,7457
206,1370,1074,1343,7494
207,1423,1721,7855,7524
208,848,672,8277,7543
209,226,818,2450,7571
210,276,1713,4509,7614
211,985,1609,6133,7649
212,1834,1939,8736,7709
213,1358,1595,4210,7762
214,249,647,1232,7813
215,1911,1449,9273,7833
216,224,851,7641,7881
217,1266,1031,3942,7920
218,1857,1650,1264,7936
219,981,229,6991,7960
220,1650,1808,8934,7976
221,1047,1865,9833,8010
222,519,1511,4586,8022
223,222,1275,2449,8044
224,1653,190,1023,8084
225,1624,192,9115,8121
226,293,1471,7493,8138
227,1186,927,8015,8196
228,196,735,4095,8246
229,18,106,9202,8271
230,1645,363,1779,8290
231,1400,194,1040,8323
232,910,1181,1536,8347
233,1618,1620,5831,8402
234,806,190,2655,8415
235,1732,488,5403,8474
236,851,455,5479,8494
237,1365,384,7210,8546
238,1290,1143,1978,8598
239,1419,17,6058,8629
240,642,1334,5861,8656
241,727,1276,7180,8705
242,401,516,1095,8722
243,1399,1923,6271,8746
244,622,1909,7996,8798
245,664,1661,9693,8847
246,1606,1093,7349,8889
247,1814,637,5642,8944
248,1301,329,9765,8979
249,1686,1369,1233,9014
250,1136,1925,4096,9052
251,208,83,5865,9092
252,1210,1113,8356,9127
253,786,387,1670,9143
254,1853,1419,1604,9177
255,1534,1744,1039,9196
256,1750,984,9352,9247
257,197,405,2265,9277
258,814,1147,8052,9319
259,1414,1514,6838,9379
260,1061,902,8719,9423
261,771,1991,2875,9466
262,857,1223,6429,9501
263,1159,296,9809,9538
264,1394,1582,7859,9576
265,1872,1005,7006,9606
266,184,211,8983,9659
267,938,692,4861,9703
268,1412,457,4665,9737
269,1096,960,2366,9747
